geocell_id,country,num_points,centroid_lat,centroid_lon
1580,Slovenia,49,46.46264546938776,15.285424020408165
1581,Slovenia,66,46.35829004545455,15.108329348484848
1582,Solomon Is.,8,-11.070975233607182,160.39721907795405
1583,Somalia,21,8.109287120931475,49.44918161734455
1584,Somaliland,30,10.350887820340011,45.43568930642955
1585,South Africa,96,-30.71862451164776,22.45965118392192
1586,South Africa,41,-27.7230818424614,23.55178504748593
1587,South Africa,120,-31.91524218006324,27.843193782170307
1588,South Africa,73,-32.99009319110774,24.897028457483604
1589,South Africa,70,-24.697634888845265,28.9802690652714
1590,South Africa,110,-23.27446805152717,29.730431313396625
1591,South Africa,33,-24.40616686479439,27.1859796927656
1592,South Africa,126,-25.870994779420236,26.734331524700902
1593,South Africa,84,-26.796399753587096,24.779437816040492
1594,South Africa,145,-25.932897286987007,30.041547202519027
1595,South Africa,94,-33.296671294770654,22.2241526426522
1596,South Africa,126,-33.340053134052795,18.84532140252826
1597,South Africa,26,-26.80037400170675,21.495156195111267
1598,South Africa,115,-26.05696138062193,28.178362783086207
1599,South Africa,68,-29.34376040926337,19.44275363123644
1600,South Africa,36,-28.289477165605103,29.908780515639076
1601,South Africa,40,-27.65147805189481,31.6676000431553
1602,South Africa,37,-28.904142721863906,31.81352782599278
1603,South Africa,62,-30.09013067922957,30.51185316133055
1604,South Africa,137,-27.668917104009687,27.94361791024001
1605,South Africa,73,-29.024476966185613,25.95922692548416
1606,South Korea,17,36.922859210392,129.32416459232755
1607,South Korea,136,37.66114404891683,128.32207928538747
1608,South Korea,59,33.38345373779853,126.53603851598906
1609,South Korea,159,37.67786402741419,127.22120084421071
1610,South Korea,126,37.48672880435753,126.7337486382494
1611,South Korea,43,36.46803890028464,127.290304064836
1612,South Korea,61,35.69211860655738,127.0548252295082
1613,South Korea,103,34.95396770206372,126.91397169566916
1614,South Korea,90,35.29581491948952,128.6683525829141
1615,South Korea,139,36.05173735989789,128.47113846063044
1616,South Korea,83,36.07410637909072,129.24545687211915
1617,Spain,5,35.90904472984754,-5.316441296315363
1618,Spain,3,35.67426927283489,-2.5645371838379227
1619,Spain,41,39.73967878450833,-6.235814499285841
1620,Spain,39,41.30548468290666,-6.056693201206301
1621,Spain,59,37.66788585035918,-5.75984870038452
1622,Spain,40,40.5774729922167,0.3218017875916816
1623,Spain,57,38.94655625772008,-0.5614533425782685
1624,Spain,46,37.89368815853154,-1.4294727457943646
1625,Spain,48,37.10241314223344,-3.242586729212258
1626,Spain,43,43.43050111031267,-7.552622886707381
1627,Spain,46,43.52815463207766,-5.987689387274748
1628,Spain,46,43.41368981361746,-4.017909900817848
1629,Spain,38,42.62353176884926,-1.6534416719170693
1630,Spain,25,28.236743196007,-16.89514417779533
1631,Spain,21,28.43860262648899,-14.354009126491167
1632,Spain,56,39.55754622548448,3.057440770002228
1633,Spain,34,41.67444724915449,-1.0562659742679965
1634,Spain,51,42.38095114885143,-3.048769967314428
1635,Spain,49,38.48383280737868,-2.6480785680870693
1636,Spain,31,40.615807045343566,-0.7808104656822745
1637,Spain,57,39.42728662356617,-3.012871090012172
1638,Spain,49,40.33676203419875,-4.314116603062423
1639,Spain,53,42.349414795181005,-5.23315047520902
1640,Spain,40,43.10389408490524,-2.611171696198623
1641,Spain,40,41.16569824159418,-2.6780660594149834
1642,Spain,36,40.44591362224317,-3.712787454229631
1643,Spain,31,42.16671788673316,-0.0169175121437966
1644,Spain,34,42.03602811855726,1.097919103934876
1645,Spain,48,41.78876189674551,2.417049048103427
1646,Spain,48,38.69476412241792,-6.134089927385198
1647,Spain,79,36.20631370767872,-5.381920369395832
1648,Spain,67,42.74923140677952,-8.53541284371316
1649,Spratly Is.,2,11.557963643796526,116.57547506232088
1650,Sri Lanka,49,8.310973668176322,81.48269268697997
1651,Sri Lanka,45,9.401916711111111,80.36062117777777
1652,Sri Lanka,44,7.297927047468746,81.56993070830666
1653,Sri Lanka,45,6.584815111111111,80.57369684444444
1654,Sri Lanka,54,6.7350133361444495,81.28141352571221
1655,Sri Lanka,31,7.139616096774194,81.0517239032258
1656,Sri Lanka,40,7.675313675,80.698312775
1657,Sri Lanka,55,7.9682906,81.03348878181818
1658,Sri Lanka,91,7.657224542085266,80.23749113884824
1659,Sri Lanka,109,8.369736170851628,80.5320622854921
1660,Sri Lanka,60,7.1344254,80.69214138333334
1661,Sri Lanka,58,9.024291542865196,80.27010127675668
1662,Sri Lanka,50,7.8599299,79.88502386
1663,Sri Lanka,52,7.127819807692308,80.01076286538462
1664,Sri Lanka,52,7.01075351923077,80.19130898076924
1665,Sri Lanka,56,6.558984114962047,80.06661618186357
1666,Sri Lanka,40,6.219000575,80.21259695
1667,Sri Lanka,33,6.108964519251773,80.54213142063341
1668,Sri Lanka,52,6.128441582541904,81.05451274181573
1669,Sudan,35,12.965601851502049,27.831318449077724
1670,Suriname,2,5.4351531020145245,-54.757642141228125
1671,Sweden,76,66.74741665978335,19.255011344255685
1672,Sweden,77,66.70978067451455,22.37274866028825
1673,Sweden,53,59.5173602355631,18.34284274920793
1674,Sweden,43,59.06323468720115,16.76639793692813
1675,Sweden,41,58.33806606175318,15.866742921751616
1676,Sweden,70,56.75167864894202,15.890463583897724
1677,Sweden,60,55.96105253375824,13.608437128980334
1678,Sweden,53,56.98032710901455,12.756935703574587
1679,Sweden,42,57.533945103265445,18.566515171907383
1680,Sweden,33,59.78036422019045,16.27278741874696
1681,Sweden,41,57.53353984294749,14.562898307548693
1682,Sweden,33,59.339404107914966,15.015525602402771
1683,Sweden,119,64.79646537088594,17.945836843773435
1684,Sweden,45,56.77731783343293,14.68389350368818
1685,Sweden,85,63.27137268626524,14.42924067761604
1686,Sweden,78,60.91645039629224,14.41284300938366
1687,Sweden,80,59.78620589363182,13.136043204358163
1688,Sweden,82,58.23867825960508,12.703687720764377
1689,Sweden,65,63.05998116124749,17.445530263117963
1690,Sweden,71,61.50194465015553,16.522507473057708
1691,Sweden,35,60.09580057943618,17.76043887394137
1692,Switzerland,24,46.87436734571035,8.117670778298962
1693,Syria,1,33.273367,35.770279
1694,Syria,19,36.06980218914833,39.02651629279056
1695,São Tomé and Principe,140,0.0971883424686171,6.593173068834743
1696,São Tomé and Principe,61,0.219886,6.713486590163934
1697,São Tomé and Principe,50,0.4324227995523069,6.454217309230598
1698,São Tomé and Principe,32,0.2930045,6.59669046875
1699,São Tomé and Principe,109,1.6388585502832167,7.407630701051813
1700,São Tomé and Principe,40,0.262872925,6.740202200000001
1701,São Tomé and Principe,132,0.3098185984848484,6.722970212121211
1702,São Tomé and Principe,75,0.34468536,6.72181004
1703,São Tomé and Principe,54,0.3522509444444444,6.700760851851852
1704,São Tomé and Principe,62,0.3632288064516129,6.682334774193548
1705,São Tomé and Principe,63,0.3035791746031746,6.678622984126984
1706,São Tomé and Principe,65,0.3761221230769231,6.652192907692307
1707,São Tomé and Principe,58,0.3871821379310345,6.6367783620689655
1708,Taiwan,52,24.92146973793956,121.25942770433002
1709,Taiwan,47,24.760265127659576,121.09807504255318
1710,Taiwan,48,22.84827994458412,121.17840343317292
1711,Taiwan,83,24.057044096385543,121.53791438554217
1712,Taiwan,87,25.03776757471264,121.62917113793104
1713,Taiwan,5,24.4588952,118.372766
1714,Taiwan,6,23.5962025,119.573887
1715,Taiwan,81,23.88459948890344,120.89357621027789
1716,Taiwan,59,24.517875389830508,120.86360681355931
1717,Taiwan,69,24.224894586212084,120.77307195824648
1718,Taiwan,63,23.9725769568512,120.48100179777452
1719,Taiwan,65,23.69071227692308,120.3778187846154
1720,Taiwan,77,23.465290142857143,120.48082957142856
1721,Taiwan,107,23.15503403987855,120.31969132743647
1722,Taiwan,75,22.90919644,120.49727461333332
1723,Taiwan,81,22.428293765432095,120.67001495061729
1724,Tajikistan,8,38.67799272241027,70.69727285554444
1725,Tanzania,20,-4.21613708476546,33.48911140521773
1726,Tanzania,2,-7.253301156515121,38.61554291246469
